Provincia de residencia	Causas (lista reducida)	Sexo	Edad	Total
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	Todas las edades	67.298
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	Menores de 1 año	160
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 1 a 14 años	112
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 15 a 29 años	272
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 30 a 39 años	386
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 40 a 44 años	475
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 45 a 49 años	841
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 50 a 54 años	1.333
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 55 a 59 años	2.123
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 60 a 64 años	3.080
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 65 a 69 años	3.894
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 70 a 74 años	5.056
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 75 a 79 años	7.304
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 80 a 84 años	9.283
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 85 a 89 años	12.405
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 90 a 94 años	13.158
Cataluña	001-102 I-XXII.Todas las causas	Ambos sexos	De 95 años y más	7.416
Cataluña	001-102 I-XXII.Todas las causas	Hombres	Todas las edades	33.496
Cataluña	001-102 I-XXII.Todas las causas	Hombres	Menores de 1 año	94
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 1 a 14 años	75
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 15 a 29 años	182
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 30 a 39 años	253
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 40 a 44 años	314
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 45 a 49 años	561
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 50 a 54 años	836
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 55 a 59 años	1.406
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 60 a 64 años	2.040
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 65 a 69 años	2.487
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 70 a 74 años	3.198
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 75 a 79 años	4.471
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 80 a 84 años	5.174
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 85 a 89 años	5.604
