geo;municipi;pobl_total;edad_media
431016;Passanant i Belltall;324;57.85
431592;Vallfogona de Riucorb;196;57.35
250714;Cava;80;56.5
250978;Fulleda;184;56.28
250609;Cabanabona;130;56.28
430614;Forès;80;56.22
080930;Gisclareny;60;56.17
430751;Margalef;216;55.9
250450;Bausen;120;55.53
250984;Gavet de la Conca;524;54.95
430574;Febró, la;72;54.89
251538;Omellons, els;378;54.78
251961;Sant Esteve de la Sarga;248;54.72
250208;Almatret;606;54.61
431573;Ulldemolins;828;54.58
251288;Llimiana;264;54.42
251692;Pobla de Cérvoles, la;418;54.28
430705;Guiamets, els;512;54.25
251459;Nalec;178;54.04
250560;Bovera;506;54.04
430568;Fatarella, la;1712;54.0
251431;Montornès de Segarra;176;53.89
252017;Sarroca de Bellera;228;53.7
259046;Castell de Mur;350;53.65
251522;Oluges, les;330;53.56
080214;Bellprat;138;53.48
430995;Palma d'Ebre, la;670;53.21
430271;Bisbal de Montsant, la;414;53.14
259097;Vansa i Fórnols, la;378;53.09
430173;Argentera, l';258;53.06
251142;Ivorra;204;53.03
080958;Granera;166;52.98
259084;Fígols i Alinyà;488;52.97
252249;Torms, els;276;52.88
252385;Vallbona de les Monges;442;52.77
259062;Valls d'Aguilar, les;538;52.66
082016;Sant Boi de Lluçanès;1148;52.64
430419;Caseres;480;52.56
251364;Molsosa, la;210;52.53
250220;Alòs de Balaguer;236;52.53
251484;Odèn;462;52.49
259139;Riu de Cerdanya;198;52.37
430580;Figuera, la;246;52.33
251095;Guimerà;498;52.29
431439;Savallà del Comtat;96;52.29
430252;Benifallet;1448;52.2
250061;Albagés, l';686;52.06
430398;Capafonts;212;51.99
250557;Biosca;354;51.94
431251;Riba-roja d'Ebre;2252;51.94
252496;Vilanova de l'Aguda;390;51.94
430189;Arnes;926;51.92
251543;Omells de na Gaia, els;242;51.83
431541;Torroja del Priorat;274;51.78
430326;Bot;1104;51.7
081666;Pobla de Lillet, la;2214;51.7
252537;Vilosell, el;384;51.68
089019;Rupit i Pruit;562;51.62
251641;Penelles;870;51.52
251771;Preixens;780;51.44
251305;Maldà;478;51.44
170681;Foixà;582;51.27
250766;Cogul, el;324;51.26
171387;Portbou;2164;51.26
252555;Vinaixa;898;51.25
252069;Soleràs, el;634;51.2
251500;Oliola;390;51.14
250812;Espluga Calba, l';664;51.13
081901;Saldes;600;51.08
251116;Guixers;270;51.07
251706;Bellaguarda;590;51.06
251253;Llardecans;854;51.06
251039;Granyanella;280;51.05
250740;Ciutadilla;388;51.05
252228;Tiurana;134;51.04
170545;Colera;980;51.03
082418;Sant Sadurní d'Osormort;170;51.0
431021;Paüls;1086;51.0
082938;Vallcebre;544;51.0
430770;Mas de Barberans;1092;51.0
251057;Granyena de les Garrigues;328;50.95
170144;Vajol, la;196;50.94
080522;Castellar de n'Hug;328;50.93
251386;Montgai;1280;50.86
252271;Torre de Cabdella, la;1574;50.83
430691;Gratallops;464;50.82
250791;Cubells;684;50.76
250426;Baronia de Rialb, la;460;50.74
082802;Tavertet;262;50.72
250371;Avellanes i Santa Linya, les;860;50.57
250024;Àger;1216;50.53
259101;Josa i Tuixén;246;50.48
171925;Setcases;384;50.47
252000;Sarroca de Lleida;762;50.41
082994;Vilada;886;50.35
250175;Alins;550;50.33
251945;Sant Ramon;990;50.31
250156;Algerri;852;50.3
431212;Rasquera;1592;50.25
430672;Ginestar;1600;50.23
430688;Godall;1242;50.21
250616;Cabó;182;50.21
430350;Cabacés;602;50.18
080364;Calonge de Segarra;348;50.16
431763;Vimbodí i Poblet;1786;50.04
431153;Pradell de la Teixeta;356;50.03
250735;Cervià de les Garrigues;1280;49.79
431515;Torre de Fontaubella, la;238;49.73
430727;Lloar, el;200;49.73
171886;Selva de Mar, la;440;49.72
080804;Fígols;84;49.71
170558;Colomers;410;49.68
251919;Sanaüja;774;49.63
080240;Borredà;852;49.59
171122;Ogassa;436;49.59
171946;Susqueda;190;49.57
251001;Gósol;428;49.55
171024;Maçanet de Cabrenys;1550;49.55
259025;Sant Martí de Riucorb;1350;49.53
251155;Isona i Conca Dellà;2084;49.52
