IDEQUIPAMENT,ALIES,NOM,CATEGORIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,CODI_MUNICIPI,COMARCA,UTMX,UTMY,LONGITUD,LATITUD,DATA_MODIFICACIO,PROPIETATS,Georeferència
33089573,ASSIR CAP Artesa de Segre,ASSIR CAP Artesa de Segre,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR ÀNGEL GUIMERÀ, 6",cr.,6,25730,ARTESA DE SEGRE,250349,NOGUERA,"337,988.59","4,640,069.32",1.046976564,41.895961514,11/11/2025 01:10:31 PM,,POINT (1.046976564 41.895961514)
3619683,Consultori local Seana,Consultori local Seana,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR LES ESCOLES, S/N",cr.,S/N,25262,BELLPUIG,250501,URGELL,"335,079.85","4,615,078.07",1.01887193,41.670398771,11/11/2025 01:10:31 PM,Horari|Consulteu l'horari al CAP de referència - Telèfon del CAP (973 33 71 57),POINT (1.01887193 41.670398771)
33599011,ASSIR CAP Cornudella de Montsant,ASSIR CAP Cornudella de Montsant,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR COMTE DE RIUS, 2",cr.,2,43360,CORNUDELLA DE MONTSANT,430496,PRIORAT,"324,457.11","4,570,147.05",0.904414212,41.263685419,11/11/2025 01:10:31 PM,Horari|de 8 a 20h,POINT (0.904414212 41.263685419)
34420198,Atenció continuada CAP Ernest Lluch de Figueres,Atenció continuada CAP Ernest Lluch de Figueres,Salut|Centres sanitaris|2. Centres amb atenció continuada|,"RD RECTOR AROLAS, S/N",rd.,S/N,17600,FIGUERES,170669,ALT EMPORDA,"496,345.17","4,679,529.60",2.955682479,42.26796396,11/11/2025 01:10:31 PM,Horari|dl. a dg. de 20 a 8h.,POINT (2.955682479 42.26796396)
3620427,Consultori local Biure,Consultori local Biure,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR NOU, 2",cr.,2,17723,BIURE,172348,ALT EMPORDA,"491,370.94","4,687,278.56",2.895250817,42.337713217,11/11/2025 01:10:31 PM,"Horari|dl i dc 08-11 (mg i inf). Fora d'aquest horari truqueu al 061 Salut Respon o adreceu-vos al CAP Doctor Subirós de La Jonquera, obert 24 h.",POINT (2.895250817 42.337713217)
3620184,CAS Selva Marítima,CAS Selva Marítima,Salut|Centres sanitaris|6. Centres d'atenció i seguiment a les drogodependències|,"AV EUROPA, 14",av.,14,17300,BLANES,170237,SELVA,"481,620.38","4,613,285.52",2.779204506,41.671118833,11/11/2025 01:10:31 PM,Horari|dilluns 8'30-18/ dimarts i dimecres 8'30 - 15h/ dijous  8'30-18 / divendres 8'30-14,POINT (2.779204506 41.671118833)
3620325,Consultori local La Llacuna,Consultori local La Llacuna,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"PL DR LLUIS BALAGUE , S/N",pl.,S/N,8779,LA LLACUNA,81043,ANOIA,"377,675.56","4,592,241.12",1.535023924,41.472447164,11/11/2025 01:10:31 PM,"Horari|Dilluns, dijous i divendres 8 a 15h.",POINT (1.5350239239999999 41.472447164)
32998161,ASSIR CAP Oliana,ASSIR CAP Oliana,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR GIRONA, 8",cr.,8,25790,OLIANA,251497,ALT URGELL,"360,421.00","4,658,610.45",1.312871991,42.067163664,11/11/2025 01:10:31 PM,,POINT (1.312871991 42.067163664)
33135519,ASSIR CAP Abrera,ASSIR CAP Abrera,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR MANRESA, 15",cr.,15,8630,ABRERA,80018,BAIX LLOBREGAT,"408,102.24","4,596,916.72",1.898629912,41.518618221,11/11/2025 01:10:31 PM,"Horari|Dl de 14 a 20h i dc, dj i dv de 8 a 15h",POINT (1.898629912 41.518618221)
33134742,ASSIR CAP Bigues i Riells,ASSIR CAP Bigues i Riells,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR PRAT DE LA RIBA, 54",cr.,54,8415,BIGUES I RIELLS DEL FAI,80235,VALLES ORIENTAL,"435,290.61","4,613,302.93",2.222671832,41.668859114,11/11/2025 01:10:31 PM,,POINT (2.222671832 41.668859114)
3619613,CUAP Lleida,CUAP Lleida,Salut|Centres sanitaris|2. Centres amb atenció continuada|Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|,"AV PRAT DE LA RIBA, 56",av.,56,25004,LLEIDA,251207,SEGRIA,"302,170.09","4,610,463.22",0.625364603,41.621376166,11/11/2025 01:10:32 PM,"Horari|Obert les 24 hores, tots els dies de la setmana.",POINT (0.6253646030000001 41.621376166)
3621874,CUAP L'Hospitalet,CUAP L'Hospitalet,Salut|Centres sanitaris|2. Centres amb atenció continuada|Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|,"CR COBALT, 135-137",cr.,135-137,8905,L'HOSPITALET DE LLOBREGAT,81017,BARCELONES,"425,086.17","4,578,724.26",2.104406532,41.356537931,11/11/2025 01:10:32 PM,Horari|24 h.,POINT (2.104406532 41.356537931)
3619906,Centre Sociosanitari Santa Tecla Llevant,Centre Sociosanitari Santa Tecla Llevant,Salut|Centres sanitaris|4. Centres sociosanitaris|,"CR JOAN FUSTER I ORTELLS, S/N",cr.,S/N,43007,TARRAGONA,431482,TARRAGONES,"354,551.46","4,553,733.72",1.267400681,41.121881232,11/11/2025 01:10:31 PM,,POINT (1.267400681 41.121881232)
18587981,CSMA Mora d'Ebre,CSMA Mora d'Ebre,Salut|Centres sanitaris|5. Centres de salut mental|,"CR DOCTOR BORRÀS, 13",cr.,13,43740,MÓRA D'EBRE,430939,RIBERA D'EBRE,"302,102.98","4,551,195.93",0.643883972,41.087954576,11/11/2025 01:10:31 PM,,POINT (0.643883972 41.087954576)
33609027,ASSIR CAP Blanes,ASSIR CAP Blanes,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR SEBASTIÀ LLORENS, 4",cr.,4,17300,BLANES,170237,SELVA,"482,347.22","4,614,004.20",2.787914727,41.677608464,11/11/2025 01:10:31 PM,,POINT (2.787914727 41.677608464)
31070165,EAIA Pallars ,EAIA Pallars ,Salut|Centres sanitaris|4. Centres sociosanitaris|,"CR PAU CASALS, 5",cr.,5,25620,TREMP,252347,PALLARS JUSSA,"326,285.31","4,670,190.10",0.89706272,42.164580316,11/11/2025 01:10:31 PM,,POINT (0.8970627200000001 42.164580316)
3619621,Hospital Sant Joan de Déu Terres de Lleida,Hospital Sant Joan de Déu Terres de Lleida,Salut|Centres sanitaris|5. Centres de salut mental|,"AV CANADENCA, 28",av.,28,25001,LLEIDA,251207,SEGRIA,0,0,0.6352838,41.6003022,11/11/2025 01:10:32 PM,,POINT (0.6352838 41.6003022)
3621517,Consultori local Avinyó Nou,Consultori local Avinyó Nou,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"PL DE LA VILA, 1",pl.,1,8793,AVINYONET DEL PENEDÈS,80137,ALT PENEDES,"397,901.16","4,579,547.25",1.779333127,41.360961842,11/11/2025 01:10:31 PM,"Horari|Dilluns, dimecres, dijous i divendres de 8 a 15h, de 15 a 20h. atenció al CAP Santa Margarida i els Monjos. Fora d'aquest horari, caps de setmana i festius a l'Hospital Comarcal Alt Penedès o bé truqueu al 061 Salut Respon.",POINT (1.7793331270000001 41.360961842)
