comarca,indice_pca_norm
Alt Camp,0.5375775686401268
Alt Empordà,0.4699379670969525
Alt Penedès,0.42521497875772857
Alt Urgell,0.5666933011036662
Alta Ribagorça,0.34401322989724653
Anoia,0.36641767939632786
Bages,0.3589033673567765
Baix Camp,0.34467490694033037
Baix Ebre,0.8106567045347026
Baix Empordà,0.36782154054819144
Baix Llobregat,0.1169200648717201
Baix Penedès,0.758850566013596
Barcelonès,0.7178383258939125
Berguedà,0.3137572875573143
Cerdanya,0.0
Conca de Barberà,0.4343772041797542
Garraf,0.32490378221937305
Garrigues,0.6985967355428873
Garrotxa,0.3521620114849272
Gironès,0.21612522676145046
Lluçanès,0.23373574791678767
Maresme,0.09697221352237431
Moianès,0.25634519162241987
Montsià,1.0
Noguera,0.5277077032671763
Osona,0.2421989550043565
Pallars Jussà,0.625203171074267
Pallars Sobirà,0.31690063165938465
Pla d'Urgell,0.7133198978668999
Pla de l'Estany,0.17729620767904566
Priorat,0.5024428362035623
Ribera d'Ebre,0.7434894279234499
Ripollès,0.250348886068223
Segarra,0.4585907766034479
Segrià,0.7487927684976087
Selva,0.6849153681460953
Solsonès,0.4048473365776764
Tarragonès,0.583601668656481
Terra Alta,0.8736880117095135
Urgell,0.5869390045807046
Val d'Aran,0.23192348405816215
Vallès Occidental,0.16930775707395745
Vallès Oriental,0.22262930813584236
