comarca,num_defi,num_hospi,pob
alt camp,64.0,16.0,46388
alt emporda,283.0,44.0,148732
alt penedes,236.0,23.0,114189
alt urgell,53.0,17.0,21128
alta ribagorca,15.0,5.0,4040
anoia,441.0,17.0,128432
bages,258.0,34.0,185352
baix camp,211.0,26.0,204458
baix ebre,134.0,21.0,82399
baix emporda,232.0,31.0,143443
baix llobregat,973.0,66.0,848827
baix penedes,129.0,14.0,118350
barcelones,3123.0,202.0,2354301
bergueda,102.0,14.0,41058
cerdanya,42.0,12.0,20115
conca de barbera,68.0,12.0,20569
garraf,193.0,16.0,161907
garrigues,44.0,13.0,19075
garrotxa,107.0,16.0,62449
girones,276.0,33.0,205573
maresme,535.0,49.0,472572
moianes,37.0,7.0,14758
montsia,102.0,21.0,71460
noguera,81.0,18.0,39727
osona,307.0,35.0,166588
pallars jussa,39.0,19.0,13383
pallars sobira,44.0,10.0,7332
pla durgell,71.0,15.0,38111
pla de lestany,50.0,6.0,33564
priorat,30.0,9.0,9420
ribera debre,40.0,16.0,22132
ripolles,67.0,14.0,25826
segarra,50.0,10.0,22667
segria,419.0,39.0,217853
selva,285.0,29.0,185264
solsones,30.0,5.0,15323
tarragones,390.0,31.0,275122
terra alta,32.0,8.0,11446
urgell,68.0,22.0,38531
val daran,30.0,10.0,10545
valles occidental,1161.0,87.0,960033
valles oriental,608.0,51.0,424071
