Codi;Nom;Codi comarca;Nom comarca
250019;Abella de la Conca;25;Pallars Jussà
80018;Abrera;11;Baix Llobregat
250024;Àger;23;Noguera
250030;Agramunt;38;Urgell
80023;Aguilar de Segarra;7;Bages
170010;Agullana;2;Alt Empordà
80142;Aiguafreda;41;Vallès Oriental
430017;Aiguamúrcia;1;Alt Camp
170025;Aiguaviva;20;Gironès
250387;Aitona;33;Segrià
250045;Alamús, els;33;Segrià
250058;Alàs i Cerc;4;Alt Urgell
250061;Albagés, l';18;Garrigues
170031;Albanyà;2;Alt Empordà
250077;Albatàrrec;33;Segrià
250083;Albesa;23;Noguera
250096;Albi, l';18;Garrigues
430022;Albinyana;12;Baix Penedès
430038;Albiol, l';8;Baix Camp
170046;Albons;10;Baix Empordà
430043;Alcanar;22;Montsià
250100;Alcanó;33;Segrià
250117;Alcarràs;33;Segrià
250122;Alcoletge;33;Segrià
430056;Alcover;1;Alt Camp
439044;Aldea, l';9;Baix Ebre
430069;Aldover;9;Baix Ebre
430075;Aleixar, l';8;Baix Camp
80039;Alella;21;Maresme
430081;Alfara de Carles;9;Baix Ebre
250138;Alfarràs;33;Segrià
250143;Alfés;33;Segrià
430094;Alforja;8;Baix Camp
250156;Algerri;23;Noguera
250169;Alguaire;33;Segrià
250175;Alins;26;Pallars Sobirà
430108;Alió;1;Alt Camp
250194;Almacelles;33;Segrià
250208;Almatret;33;Segrià
250215;Almenar;33;Segrià
430115;Almoster;8;Baix Camp
250220;Alòs de Balaguer;23;Noguera
170062;Alp;15;Cerdanya
80044;Alpens;24;Osona
250236;Alpicat;33;Segrià
250241;Alt Àneu;26;Pallars Sobirà
430120;Altafulla;36;Tarragonès
170078;Amer;34;Selva
430136;Ametlla de Mar, l';9;Baix Ebre
80057;Ametlla del Vallès, l';41;Vallès Oriental
439060;Ampolla, l';9;Baix Ebre
430141;Amposta;22;Montsià
170084;Anglès;34;Selva
250273;Anglesola;38;Urgell
250292;Arbeca;18;Garrigues
430167;Arboç, l';12;Baix Penedès
430154;Arbolí;8;Baix Camp
170097;Arbúcies;34;Selva
80060;Arenys de Mar;21;Maresme
80076;Arenys de Munt;21;Maresme
170101;Argelaguer;19;Garrotxa
80082;Argençola;6;Anoia
430173;Argentera, l';8;Baix Camp
80095;Argentona;21;Maresme
170118;Armentera, l';2;Alt Empordà
430189;Arnes;37;Terra Alta
250313;Arres;39;Aran
250328;Arsèguel;4;Alt Urgell
80109;Artés;7;Bages
250334;Artesa de Lleida;33;Segrià
250349;Artesa de Segre;23;Noguera
430192;Ascó;30;Ribera d'Ebre
250365;Aspa;33;Segrià
250371;Avellanes i Santa Linya, les;23;Noguera
80116;Avià;14;Berguedà
80121;Avinyó;7;Bages
170123;Avinyonet de Puigventós;2;Alt Empordà
80137;Avinyonet del Penedès;3;Alt Penedès
80155;Badalona;13;Barcelonès
89045;Badia del Vallès;40;Vallès Occidental
80168;Bagà;14;Berguedà
250390;Baix Pallars;26;Pallars Sobirà
250404;Balaguer;23;Noguera
80174;Balenyà;24;Osona
80180;Balsareny;7;Bages
430206;Banyeres del Penedès;12;Baix Penedès
170157;Banyoles;28;Pla de l'Estany
250411;Barbens;27;Pla d'Urgell
430213;Barberà de la Conca;16;Conca de Barberà
82520;Barberà del Vallès;40;Vallès Occidental
80193;Barcelona;13;Barcelonès
250426;Baronia de Rialb, la;23;Noguera
170160;Bàscara;2;Alt Empordà
250447;Bassella;4;Alt Urgell
430228;Batea;37;Terra Alta
250450;Bausen;39;Aran
80207;Begues;11;Baix Llobregat
170139;Begur;10;Baix Empordà
250463;Belianes;38;Urgell
250485;Bell-lloc d'Urgell;27;Pla d'Urgell
251706;Bellaguarda;18;Garrigues
170182;Bellcaire d'Empordà;10;Baix Empordà
250479;Bellcaire d'Urgell;23;Noguera
250498;Bellmunt d'Urgell;23;Noguera
430234;Bellmunt del Priorat;29;Priorat
80214;Bellprat;6;Anoia
250501;Bellpuig;38;Urgell
430249;Bellvei;12;Baix Penedès
250518;Bellver de Cerdanya;15;Cerdanya
250523;Bellvís;27;Pla d'Urgell
250539;Benavent de Segrià;33;Segrià
430252;Benifallet;9;Baix Ebre
430265;Benissanet;30;Ribera d'Ebre
80229;Berga;14;Berguedà
170195;Besalú;19;Garrotxa
170209;Bescanó;20;Gironès
170216;Beuda;19;Garrotxa
80235;Bigues i Riells del Fai;41;Vallès Oriental
250557;Biosca;32;Segarra
170221;Bisbal d'Empordà, la;10;Baix Empordà
430271;Bisbal de Falset, la;29;Priorat
430287;Bisbal del Penedès, la;12;Baix Penedès
172348;Biure;2;Alt Empordà
430290;Blancafort;16;Conca de Barberà
170237;Blanes;34;Selva
170293;Boadella i les Escaules;2;Alt Empordà
170242;Bolvir;15;Cerdanya
430304;Bonastre;12;Baix Penedès
250576;Bòrdes, Es;39;Aran
170255;Bordils;20;Gironès
250582;Borges Blanques, les;18;Garrigues
430311;Borges del Camp, les;8;Baix Camp
170268;Borrassà;2;Alt Empordà
80240;Borredà;14;Berguedà
250595;Bossòst;39;Aran
430326;Bot;37;Terra Alta
430332;Botarell;8;Baix Camp
250560;Bovera;18;Garrigues
430347;Bràfim;1;Alt Camp
170274;Breda;34;Selva
80253;Bruc, el;6;Anoia
80266;Brull, el;24;Osona
170280;Brunyola i Sant Martí Sapresa;34;Selva
430350;Cabacés;29;Priorat
250609;Cabanabona;23;Noguera
170314;Cabanelles;2;Alt Empordà
170307;Cabanes;2;Alt Empordà
80272;Cabanyes, les;3;Alt Penedès
250616;Cabó;4;Alt Urgell
430363;Cabra del Camp;1;Alt Camp
80288;Cabrera d'Anoia;6;Anoia
80291;Cabrera de Mar;21;Maresme
80305;Cabrils;21;Maresme
170329;Cadaqués;2;Alt Empordà
80312;Calaf;6;Anoia
430379;Calafell;12;Baix Penedès
80348;Calders;42;Moianès
80327;Caldes d'Estrac;21;Maresme
170335;Caldes de Malavella;34;Selva
80333;Caldes de Montbui;41;Vallès Oriental
80351;Calella;21;Maresme
80370;Calldetenes;24;Osona
80386;Callús;7;Bages
80364;Calonge de Segarra;6;Anoia
170340;Calonge i Sant Antoni;10;Baix Empordà
250621;Camarasa;23;Noguera
439039;Camarles;9;Baix Ebre
430385;Cambrils;8;Baix Camp
170353;Camós;28;Pla de l'Estany
170366;Campdevànol;31;Ripollès
170372;Campelles;31;Ripollès
80399;Campins;41;Vallès Oriental
170388;Campllong;20;Gironès
170391;Camprodon;31;Ripollès
250637;Canejan;39;Aran
170405;Canet d'Adri;20;Gironès
80403;Canet de Mar;21;Maresme
439076;Canonja, la;36;Tarragonès
80410;Canovelles;41;Vallès Oriental
80425;Cànoves i Samalús;41;Vallès Oriental
170412;Cantallops;2;Alt Empordà
80431;Canyelles;17;Garraf
430398;Capafonts;8;Baix Camp
430402;Capçanes;29;Priorat
80446;Capellades;6;Anoia
170427;Capmany;2;Alt Empordà
80459;Capolat;14;Berguedà
80462;Cardedeu;41;Vallès Oriental
80478;Cardona;7;Bages
80484;Carme;6;Anoia
430419;Caseres;37;Terra Alta
170448;Cassà de la Selva;20;Gironès
80497;Casserres;14;Berguedà
80575;Castell de l'Areny;14;Berguedà
259046;Castell de Mur;25;Pallars Jussà
170486;Castell-Platja d'Aro;10;Baix Empordà
250642;Castellar de la Ribera;35;Solsonès
80522;Castellar de n'Hug;14;Berguedà
80500;Castellar del Riu;14;Berguedà
80517;Castellar del Vallès;40;Vallès Occidental
80538;Castellbell i el Vilar;7;Bages
80543;Castellbisbal;40;Vallès Occidental
80556;Castellcir;42;Moianès
250674;Castelldans;18;Garrigues
80569;Castelldefels;11;Baix Llobregat
80581;Castellet i la Gornal;3;Alt Penedès
170464;Castellfollit de la Roca;19;Garrotxa
80608;Castellfollit de Riubregós;6;Anoia
80594;Castellfollit del Boix;7;Bages
80615;Castellgalí;7;Bages
80620;Castellnou de Bages;7;Bages
250680;Castellnou de Seana;27;Pla d'Urgell
170470;Castelló d'Empúries;2;Alt Empordà
250693;Castelló de Farfanya;23;Noguera
80636;Castellolí;6;Anoia
250707;Castellserà;38;Urgell
80641;Castellterçol;42;Moianès
430424;Castellvell del Camp;8;Baix Camp
80654;Castellví de la Marca;3;Alt Penedès
80667;Castellví de Rosanes;11;Baix Llobregat
430430;Catllar, el;36;Tarragonès
250714;Cava;4;Alt Urgell
171899;Cellera de Ter, la;34;Selva
170499;Celrà;20;Gironès
80673;Centelles;24;Osona
82687;Cercs;14;Berguedà
82665;Cerdanyola del Vallès;40;Vallès Occidental
80689;Cervelló;11;Baix Llobregat
250729;Cervera;32;Segarra
250735;Cervià de les Garrigues;18;Garrigues
170502;Cervià de Ter;20;Gironès
170519;Cistella;2;Alt Empordà
250740;Ciutadilla;38;Urgell
250753;Clariana de Cardener;35;Solsonès
250766;Cogul, el;18;Garrigues
170545;Colera;2;Alt Empordà
250772;Coll de Nargó;4;Alt Urgell
80692;Collbató;11;Baix Llobregat
430458;Colldejou;8;Baix Camp
80706;Collsuspina;42;Moianès
170558;Colomers;10;Baix Empordà
251636;Coma i la Pedra, la;35;Solsonès
251615;Conca de Dalt;25;Pallars Jussà
430461;Conesa;16;Conca de Barberà
430477;Constantí;36;Tarragonès
80713;Copons;6;Anoia
430483;Corbera d'Ebre;37;Terra Alta
80728;Corbera de Llobregat;11;Baix Llobregat
250788;Corbins;33;Segrià
170577;Corçà;10;Baix Empordà
80734;Cornellà de Llobregat;11;Baix Llobregat
170561;Cornellà del Terri;28;Pla de l'Estany
430496;Cornudella de Montsant;29;Priorat
430509;Creixell;36;Tarragonès
170583;Crespià;28;Pla de l'Estany
179011;Cruïlles, Monells i Sant Sadurní de l'Heura;10;Baix Empordà
80749;Cubelles;17;Garraf
250791;Cubells;23;Noguera
430516;Cunit;12;Baix Penedès
170600;Darnius;2;Alt Empordà
170617;Das;15;Cerdanya
439018;Deltebre;9;Baix Ebre
80752;Dosrius;21;Maresme
430537;Duesaigües;8;Baix Camp
170622;Escala, l';2;Alt Empordà
80765;Esparreguera;11;Baix Llobregat
170638;Espinelves;24;Osona
250812;Espluga Calba, l';18;Garrigues
430542;Espluga de Francolí, l';16;Conca de Barberà
80771;Esplugues de Llobregat;11;Baix Llobregat
170643;Espolla;2;Alt Empordà
170656;Esponellà;28;Pla de l'Estany
250827;Espot;26;Pallars Sobirà
80787;Espunyola, l';14;Berguedà
82541;Esquirol, l';24;Osona
250886;Estamariu;4;Alt Urgell
80790;Estany, l';42;Moianès
250851;Estaràs;32;Segarra
