Comarca,Sexe,Cause,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
ALT CAMP,Dones,I.Infeccioses,0,0,0,0,0,0,0,0,1,2,11,14,0,0,0,0,0,0,0,0,42.75,120.26,1198.26,61.7
ALT CAMP,Dones,II.Tumors,0,0,0,0,0,1,3,16,7,14,12,53,0,0,0,0,0,32.55,85.54,495.97,299.27,841.85,1307.19,233.59
ALT CAMP,Dones,III.Sang,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,60.13,0,4.41
ALT CAMP,Dones,IV.Endocrines,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,435.73,17.63
ALT CAMP,Dones,V.Mentals,0,0,0,0,0,0,0,0,0,3,10,13,0,0,0,0,0,0,0,0,0,180.4,1089.32,57.3
ALT CAMP,Dones,VI.Nerviós,0,0,0,0,0,0,1,0,0,3,4,8,0,0,0,0,0,0,28.51,0,0,180.4,435.73,35.26
ALT CAMP,Dones,VII.Ull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Dones,VIII.Oïda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Dones,IX.Circulatori,0,0,0,0,0,0,0,3,6,8,31,48,0,0,0,0,0,0,0,92.99,256.52,481.06,3376.91,211.56
ALT CAMP,Dones,X.Respiratori,0,0,0,0,0,0,1,0,1,2,13,17,0,0,0,0,0,0,28.51,0,42.75,120.26,1416.12,74.93
ALT CAMP,Dones,XI.Digestiu,0,0,0,0,0,0,0,1,2,3,4,10,0,0,0,0,0,0,0,31,85.51,180.4,435.73,44.07
ALT CAMP,Dones,XII.Pell,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,60.13,108.93,8.81
ALT CAMP,Dones,XIII.Osteomuscular,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,217.86,8.81
ALT CAMP,Dones,XIV.Genitourinari,0,0,0,0,0,0,0,0,0,5,7,12,0,0,0,0,0,0,0,0,0,300.66,762.53,52.89
ALT CAMP,Dones,XV.Embaràs i part,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Dones,XVI.Perinatal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Dones,XVII.Congènites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Dones,XVIII.Mal definides,0,0,0,0,0,0,0,1,0,2,14,17,0,0,0,0,0,0,0,31,0,120.26,1525.05,74.93
ALT CAMP,Dones,XX.Externes,0,0,0,0,0,1,1,0,0,0,2,4,0,0,0,0,0,32.55,28.51,0,0,0,217.86,17.63
ALT CAMP,Dones,XXI. Total,0,0,0,0,0,2,6,21,17,44,115,205,0,0,0,0,0,65.1,171.09,650.96,726.81,2645.82,12527.23,903.52
ALT CAMP,Homes,I.Infeccioses,0,0,0,0,0,0,0,0,3,3,2,8,0,0,0,0,0,0,0,0,128.87,218.02,431.97,34.01
ALT CAMP,Homes,II.Tumors,0,0,0,0,0,0,6,8,24,18,9,65,0,0,0,0,0,0,151.59,240.96,1030.93,1308.14,1943.84,276.33
ALT CAMP,Homes,III.Sang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Homes,IV.Endocrines,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,863.93,17
ALT CAMP,Homes,V.Mentals,0,0,0,0,0,0,0,0,1,1,3,5,0,0,0,0,0,0,0,0,42.96,72.67,647.95,21.26
ALT CAMP,Homes,VI.Nerviós,0,0,0,1,0,0,0,2,2,3,3,11,0,0,0,35.97,0,0,0,60.24,85.91,218.02,647.95,46.76
ALT CAMP,Homes,VII.Ull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Homes,VIII.Oïda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Homes,IX.Circulatori,0,0,0,0,1,0,1,3,6,15,15,41,0,0,0,0,38.77,0,25.27,90.36,257.73,1090.12,3239.74,174.3
ALT CAMP,Homes,X.Respiratori,0,0,0,0,0,0,0,1,0,8,15,24,0,0,0,0,0,0,0,30.12,0,581.4,3239.74,102.03
ALT CAMP,Homes,XI.Digestiu,0,0,0,0,0,0,1,2,3,4,4,14,0,0,0,0,0,0,25.27,60.24,128.87,290.7,863.93,59.52
ALT CAMP,Homes,XII.Pell,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,215.98,4.25
ALT CAMP,Homes,XIII.Osteomuscular,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,647.95,12.75
ALT CAMP,Homes,XIV.Genitourinari,0,0,0,0,0,0,0,0,2,3,2,7,0,0,0,0,0,0,0,0,85.91,218.02,431.97,29.76
ALT CAMP,Homes,XV.Embaràs i part,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Homes,XVI.Perinatal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Homes,XVII.Congènites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Homes,XVIII.Mal definides,0,0,0,0,0,0,0,1,1,2,6,10,0,0,0,0,0,0,0,30.12,42.96,145.35,1295.9,42.51
ALT CAMP,Homes,XX.Externes,0,0,0,1,0,2,2,5,1,1,3,15,0,0,0,35.97,0,60.01,50.53,150.6,42.96,72.67,647.95,63.77
ALT CAMP,Homes,XXI. Total,0,0,0,2,1,2,10,22,43,58,70,208,0,0,0,71.94,38.77,60.01,252.65,662.65,1847.08,4215.12,15118.79,884.24
ALT CAMP,Total,I.Infeccioses,0,0,0,0,0,0,0,0,4,5,13,22,0,0,0,0,0,0,0,0,85.71,164.53,941.35,47.61
ALT CAMP,Total,II.Tumors,0,0,0,0,0,1,9,24,31,32,21,118,0,0,0,0,0,15.61,120.56,366.64,664.24,1052.98,1520.64,255.34
ALT CAMP,Total,III.Sang,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,32.91,0,2.16
