"Vehicle","Nom centre","Tipus Via","Nom via","Número via","Espai fisic","Codi postal","Municipi","Codi municipi","Comarca","Província","Longitud","Latitud","Georeferencia","Titular"
"No","AJUNTAMENT DE VALLIRANA","Carrer","MAJOR","329","sala principal","08759","Vallirana","08295","Baix Llobregat","Barcelona","1.931590972","41.38795517","POINT (1.931590972 41.38795517)","AJUNTAMENT DE VALLIRANA"
"No","policia local","Avinguda","de Catalunya","9","A l'edifici","43580","Deltebre","43901","Baix Ebre","Tarragona","0.722904904","40.72011903","POINT (0.722904904 40.72011903)","AJUNTAMENT DE DELTEBRE"
"No","DIPSALUT","Carrer","Pic de Peguera","15","A la recepció de DIPSALUT","17003","Girona","17079","Gironès","Girona","2.836938124","41.96724697","POINT (2.836938124 41.96724697)","DIPSALUT"
"No","INDRA","Lloc","De Gardeny","1","Edificio H1. Planta Hall","25194","Lleida","25120","Segrià","Lleida","0.611123893","41.60933909","POINT (0.611123893 41.60933909)","INDRA SISTEMAS, S.A."
"No","Planta de lubricantes Shell","Carrer","de la Classificació","12","Puerta 0 acceso planta","43006","Tarragona","43148","Tarragonès","Tarragona","1.203125896","41.10798529","POINT (1.203125896 41.10798529)","Taner Guler"
"No","KUEHNE & NAGEL,S.A.","Carrer","de l' Antàrtic","13","Ubicado en oficina","08040","Barcelona","08019","Barcelonès","Barcelona","2.14667501","41.3240294","POINT (2.14667501 41.3240294)","KUEHNE & NAGEL, S.A."
"Sí","Policia Local - cotxe 17","Plaça","Immaculada","16","Cotxe de la Policia Local","43500","Tortosa","43155","Baix Ebre","Tarragona",,,,"AJUNTAMENT DE TORTOSA"
"No","SERTRAM, SA","Carrer","ACER","30-32","RECEPCIÓ","08038","Barcelona","08019","Barcelonès","Barcelona","2.133180306","41.35654211","POINT (2.133180306 41.35654211)","SERTRAM, SA"
"Sí","0295KYF i 0297KYF","Plaça","de l'Ajuntament","0",,"08870","Sitges","08270","Garraf","Barcelona",,,,"AJUNTAMENT DE SITGES"
"No","BASF rubí","Carrer","de Verdi","36","hall","08191","Rubí","08184","Vallès Occidental","Barcelona","2.028148647","41.47202995","POINT (2.028148647 41.47202995)","BASF ESPAÑOLA, S.L.U"
"Sí","- 2971LLT","Carrer","del Garbí","17",,"17130","Escala, l'","17062","Alt Empordà","Girona",,,,"Ajuntament de l'Escala"
"Sí","- 0144MCM","Plaça","MAJOR","7",,"17256","Pals","17124","Baix Empordà","Girona",,,,"AJUNTAMENT DE PALS"
"No","FRIME SA","Mercat","CENTRAL DEL PEIX CASELLES","79-80","ZONA OFICINES","08040","Barcelona","08019","Barcelonès","Barcelona","2.132726855","41.4139009","POINT (2.132726855 41.4139009)","FRIME SA"
"No","Ajuntament","Plaça","del Vi","1","VIA PÚBLICA","17004","Girona","17079","Gironès","Girona","2.824795255","41.98315704","POINT (2.824795255 41.98315704)","Ajuntament"
"Sí","9518MRZ","Camí","DEL RACO","S/N","VEHICLE","43480","Vila-seca","43171","Tarragonès","Tarragona",,,,"INFINITUM RESORT SA"
"No","INSTITUT MARIUS TORRES","Carrer","NARCIS MONTURIOL","2","GIMNAS.","25002","Lleida","25120","Segrià","Lleida","0.616931555","41.60716308","POINT (0.616931555 41.60716308)","INSTITUT MARIUS TORRES"
"No","AJUNTAMENT DE RIUDAURA","Plaça","Del Gambeto","1","VIA PÚBLICA","17179","Riudaura","17149","Garrotxa","Girona","2.4069117","42.18866675","POINT (2.4069117 42.18866675)","AJUNTAMENT DE RIUDAURA"
"No","IDIADA","Ronda","de l' Albornar","0","SEGURETAT PASSIVA","43710","Santa Oliva","43140","Baix Penedès","Tarragona","1.517681425","41.26907684","POINT (1.517681425 41.26907684)","IDIADA AUTOMOTIVE TECHNOLOGY S.A."
"No","Ajuntament d'Arbúcies","Carrer","Major","2","Via Pública","17401","Arbúcies","17009","Selva","Girona","2.513880613","41.81609369","POINT (2.513880613 41.81609369)","Ajuntament d'Arbúcies"
"No","AJUNTAMENT D'ARBECA","Avinguda","dels Portals","3","Exterior farmàcia.","25140","Arbeca","25029","Garrigues","Lleida","0.925503755","41.54085504","POINT (0.925503755 41.54085504)","AJUNTAMENT D'ARBECA"
"Sí","- 7778 KWV Nº8GUT","Carrer","de l' Arquebisbe Pont i Gol","8",,"43005","Tarragona","43148","Tarragonès","Tarragona",,,,"AJUNTAMENT DE TARRAGONA"
"No","AJUNTAMENT DE SANT JAUME DELS DOMENYS","Plaça","Sant Roig","2","A la paret de la Societat de la Torregassa","43713","Sant Jaume dels Domenys","43137","Baix Penedès","Tarragona","1.560084802","41.29927487","POINT (1.560084802 41.29927487)","AJUNTAMENT DE SANT JAUME DELS DOMENYS"
"No","DIAGONAL TV, SAU","Carrer","Larrard","20","SALITA CAFÉ","08024","Barcelona","08019","Barcelonès","Barcelona","2.154980744","41.41163462","POINT (2.154980744 41.41163462)","DIAGONAL TV, SAU"
"Sí","- 7899KFM","Carrer","del Raval","45",,"17450","Hostalric","17083","Selva","Girona",,,,"AJUNTAMENT D'HOSTALRIC"
"No","Montgriser, SL","Carrer","Garbí","86","RECEPCIÓ","08397","Pineda de Mar","08163","Maresme","Barcelona","2.677616015","41.6250522","POINT (2.677616015 41.6250522)","Montgriser, SL"
"Sí","POLICIA LOCAL - 3077LNP","Avinguda","ONZE DE SETEMEBRE","S/N",,"17455","Caldes de Malavella","17033","Selva","Girona",,,,"AJUNTAMENT DE CALDES DE MALAVELLA"
"No","INOXPA","Carrer","dels Telers","65","A LA ENTRADA DE LA FABRICA","17820","Banyoles","17015","Pla de l'Estany","Girona","2.777510256","42.11096512","POINT (2.777510256 42.11096512)","INOXPA"
