any,municipi,concepte,estat,valor
2022,Abella de la Conca,població ocupada (%),,64.2
2022,Abella de la Conca,treballadors de baixa qualificació (%),.., 
2022,Abella de la Conca,població amb estudis baixos (%),,18.5
2022,Abella de la Conca,població jove sense estudis postobligatoris (%),.., 
2022,Abella de la Conca,estrangers de països de renda baixa o mitjana (%),,7.2
2022,Abella de la Conca,renda mitjana per persona (€),,10999
2022,Abrera,població ocupada (%),,72.4
2022,Abrera,treballadors de baixa qualificació (%),,9.9
2022,Abrera,població amb estudis baixos (%),,12.6
2022,Abrera,població jove sense estudis postobligatoris (%),,5.9
2022,Abrera,estrangers de països de renda baixa o mitjana (%),,5.4
2022,Abrera,renda mitjana per persona (€),,15746
2022,Àger,població ocupada (%),,71.4
2022,Àger,treballadors de baixa qualificació (%),.., 
2022,Àger,població amb estudis baixos (%),,18
2022,Àger,població jove sense estudis postobligatoris (%),,15.8
2022,Àger,estrangers de països de renda baixa o mitjana (%),,9.9
2022,Àger,renda mitjana per persona (€),,14602
2022,Agramunt,població ocupada (%),,71.8
2022,Agramunt,treballadors de baixa qualificació (%),,17.1
2022,Agramunt,població amb estudis baixos (%),,17
2022,Agramunt,població jove sense estudis postobligatoris (%),,25.6
2022,Agramunt,estrangers de països de renda baixa o mitjana (%),,17.1
2022,Agramunt,renda mitjana per persona (€),,13776
2022,Aguilar de Segarra,població ocupada (%),,77.3
2022,Aguilar de Segarra,treballadors de baixa qualificació (%),.., 
2022,Aguilar de Segarra,població amb estudis baixos (%),,13.3
2022,Aguilar de Segarra,població jove sense estudis postobligatoris (%),.., 
2022,Aguilar de Segarra,estrangers de països de renda baixa o mitjana (%),,0.3
2022,Aguilar de Segarra,renda mitjana per persona (€),,16814
2022,Agullana,població ocupada (%),,70.3
2022,Agullana,treballadors de baixa qualificació (%),.., 
2022,Agullana,població amb estudis baixos (%),,13.9
2022,Agullana,població jove sense estudis postobligatoris (%),,15.6
2022,Agullana,estrangers de països de renda baixa o mitjana (%),,8.8
2022,Agullana,renda mitjana per persona (€),,19392
2022,Aiguafreda,població ocupada (%),,71.5
2022,Aiguafreda,treballadors de baixa qualificació (%),,12.4
2022,Aiguafreda,població amb estudis baixos (%),,8.5
2022,Aiguafreda,població jove sense estudis postobligatoris (%),,18.5
2022,Aiguafreda,estrangers de països de renda baixa o mitjana (%),,3.9
2022,Aiguafreda,renda mitjana per persona (€),,16768
2022,Aiguamúrcia,població ocupada (%),,62.6
2022,Aiguamúrcia,treballadors de baixa qualificació (%),.., 
2022,Aiguamúrcia,població amb estudis baixos (%),,12
2022,Aiguamúrcia,població jove sense estudis postobligatoris (%),,21.5
2022,Aiguamúrcia,estrangers de països de renda baixa o mitjana (%),,5.9
2022,Aiguamúrcia,renda mitjana per persona (€),,12665
2022,Aiguaviva,població ocupada (%),,77.6
2022,Aiguaviva,treballadors de baixa qualificació (%),.., 
2022,Aiguaviva,població amb estudis baixos (%),,8.3
2022,Aiguaviva,població jove sense estudis postobligatoris (%),,14.9
2022,Aiguaviva,estrangers de països de renda baixa o mitjana (%),,2.8
2022,Aiguaviva,renda mitjana per persona (€),,17892
2022,Aitona,població ocupada (%),,62.8
2022,Aitona,treballadors de baixa qualificació (%),,29.1
2022,Aitona,població amb estudis baixos (%),,25.1
2022,Aitona,població jove sense estudis postobligatoris (%),,34.7
2022,Aitona,estrangers de països de renda baixa o mitjana (%),,35.5
2022,Aitona,renda mitjana per persona (€),,10923
2022,"Alamús, els",població ocupada (%),,73.4
2022,"Alamús, els",treballadors de baixa qualificació (%),.., 
2022,"Alamús, els",població amb estudis baixos (%),,7.6
2022,"Alamús, els",població jove sense estudis postobligatoris (%),,17.4
2022,"Alamús, els",estrangers de països de renda baixa o mitjana (%),,11.6
2022,"Alamús, els",renda mitjana per persona (€),,14320
2022,Alàs i Cerc,població ocupada (%),,55.5
2022,Alàs i Cerc,treballadors de baixa qualificació (%),.., 
2022,Alàs i Cerc,població amb estudis baixos (%),,15.4
2022,Alàs i Cerc,població jove sense estudis postobligatoris (%),.., 
2022,Alàs i Cerc,estrangers de països de renda baixa o mitjana (%),,0.3
2022,Alàs i Cerc,renda mitjana per persona (€),,13156
2022,"Albagés, l'",població ocupada (%),,72.8
2022,"Albagés, l'",treballadors de baixa qualificació (%),.., 
2022,"Albagés, l'",població amb estudis baixos (%),,16.6
