municipi,població amb estudis baixos (%),població jove sense estudis postobligatoris (%),renda mitjana per persona (€),treballadors de baixa qualificació (%),població desocupada(%),puntuació pobreza socioeconòmica,renta_inv,indice_pca_bruto,indice_pca_norm
Abella de la Conca,0.4490291262135922,0.4150385013216871,0.25485436893203883,0.28394540677422037,0.44580777096114516,0.19471076745874608,0.7451456310679612,0.2137859919411832,0.6292923127960928
Abrera,0.3058252427184466,0.0849557522123894,0.5108953613807983,0.19113573407202217,0.2781186094069529,-0.01509288556213776,0.4891046386192017,-0.25059249060067945,0.3012478504496078
Agramunt,0.41262135922330095,0.4336283185840708,0.404638619201726,0.3905817174515236,0.2903885480572598,0.1316798218969354,0.595361380798274,0.10449167112463931,0.5520850388639823
Aguilar de Segarra,0.3228155339805825,0.4150385013216871,0.5685005393743258,0.28394540677422037,0.1779141104294479,0.025766374856005775,0.43149946062567424,-0.10678530354196047,0.40283557066871833
Agullana,0.337378640776699,0.25663716814159293,0.7075512405609493,0.28394540677422037,0.32106339468302664,-0.03020060511638071,0.2924487594390507,-0.20288814167715408,0.3349469732180626
Aiguafreda,0.20631067961165048,0.3079646017699115,0.5660194174757281,0.26038781163434904,0.2965235173824131,-0.022166201574977132,0.43398058252427185,-0.18115936785542053,0.35029653008551803
Aiguamúrcia,0.2912621359223301,0.36106194690265486,0.3447141316073355,0.28394540677422037,0.47852760736196315,0.10589907710012261,0.6552858683926646,0.07568604741596607,0.5317362809061563
Aiguaviva,0.20145631067961164,0.2442477876106195,0.6266450916936354,0.28394540677422037,0.1717791411042946,-0.06304458341302842,0.37335490830636464,-0.2868304283258728,0.2756487857975654
Aitona,0.6092233009708737,0.5946902654867257,0.2507551240560949,0.7229916897506925,0.474437627811861,0.31839021301625997,0.7492448759439051,0.5318717767259536,0.8539932500114024
"Alamús, els",0.1844660194174757,0.28849557522123886,0.43398058252427185,0.28394540677422037,0.2576687116564416,0.010045584703829581,0.5660194174757281,-0.14040293261652825,0.3790875343799439
